,Customer Name,Date,Ratings,Review Title,Reviews
116,Madhava Kumar,7 April 2021,2.0 out of 5 stars,It stopped working suddenly,It is easy to use. but it stopped working suddenly after we used it for 3 to 4 timesso i felt like i wasted my money on this product
117,Amazon Customer,21 July 2019,3.0 out of 5 stars,Average,We purchased it as gift for someone.....yet delivery was fast....bt the product we received was cracked from one side....not much satisfactory results
118,Mani,22 August 2020,5.0 out of 5 stars,Excellent retailer and product,Good price and product is worth every penny
119,Lalitha,22 July 2020,5.0 out of 5 stars,Good,Although a little scratches.. Product is so good. Suitable for small family
120,Kanwar M.,3 September 2020,4.0 out of 5 stars,good,good
121,Hema,24 March 2021,4.0 out of 5 stars,Smart system,Liked the product
122,Maharshi,15 April 2021,4.0 out of 5 stars,Good product.,Tried with various frozen food items and works well with less oil usage.
123,Shubham Taksali,17 October 2019,5.0 out of 5 stars,Happy,Good quality product which can be used for various purposes. Happy to purchase it :)
124,Moin,30 July 2020,1.0 out of 5 stars,Worst otg ever seen,"Very bad 👎 👎 👎 burns everything ,and doing smoky kitchen . I want to replace my OTG andwant to perchase microvave . Don't worth stars"
125,Ravi k.,31 October 2020,4.0 out of 5 stars,Easy to handle,Easy to use. But if one follow the recipe from the booklet provided then be careful things can be burned.Till now found it good for frozen products.
126,Adney m.,23 July 2020,5.0 out of 5 stars,Amazing product,Very good product I have baked this chicken cocktail  rolls I'm happy with this  Amazon product very easy use value for money
127,Parul Saini,8 November 2020,5.0 out of 5 stars,Worth every penny,"Have used it to cook Smilies, French fries, Cheeze nuggets, and Paneer Tikka. All came out very well."
128,Happy,18 October 2020,4.0 out of 5 stars,Nice product,Nice product. Does the job well and fairly easy to operate.
129,Vaibhav singh,11 March 2021,2.0 out of 5 stars,Product box and inner thermacol is broken, This item packaging is broken and its Thermador is also broken in the box
130,Diwaker Tiwari,7 November 2020,4.0 out of 5 stars,Overall value for money,Good quality but it's too small 2/3 people use only
131,anie,8 February 2020,1.0 out of 5 stars,Not recommended,"After 1 month use , facing switch related issue . Got repaired once but the problem not resolved completely. Will not recommend this product and brand.. kindly arrange for replacement."
132,Khush,5 March 2021,4.0 out of 5 stars,Wonderful experience,Very nice product at this range. Happy to have this. Easy to use and comes with recipe book. Had a try as well. wonderful experience.
133,Sirimulla siddu,26 October 2020,4.0 out of 5 stars,Best product,True value
134,Joji Pallath,2 November 2020,2.0 out of 5 stars,Not suitable for family,10 L too small for family even you can't grill a whole chicken.......if you planning to buy grill buy at least 16 L or above
135,Rishi Rai,11 March 2019,4.0 out of 5 stars,Value for money,Best air fryer in this segment .excellent performance and value for money.
136,deepak,9 February 2021,1.0 out of 5 stars,Waste chinese product,It stop working in 6 months...dont buy this chinese product....sure you will disappointed
137,Fahad,25 October 2020,4.0 out of 5 stars,"Good product, light weight and easy to clean.",Seems to be nice. I made some readymade fries and cheese triangles. They were fine. Maybe with some practice I'll do better.
138,vipul taneja,2 August 2019,1.0 out of 5 stars,DONT BUY IT,I bought this product on 19th july and it stopped working abruptly after few days(the day I am writing this product the date is 2nd of august).Please go with a better brand like Prestige or Phillip's
139,Bharath Guduri,13 August 2020,2.0 out of 5 stars,Instruction Manual & Recipe Book,Doesn't the Air Fryer come with any Instruction Manual & Recipe Book? I just go the Air Fryer along with an Extended Warranty Coupon in a Cardboard Box Package!
140,Shrek,30 June 2020,1.0 out of 5 stars,Fraudulent and fragile productñ,It's made in China.. whereas it's written the manufacturer is Indian on product description.I have taken a screenshot of that
141,Himanshu,12 November 2020,1.0 out of 5 stars,Worst brand,"Inalsa is the worst brand to buy, the product stopped working just after one use."
142,Shalini Jain,9 August 2020,5.0 out of 5 stars,Very easy and convenient,Makes live easier as can be operated in the kitchen with fan switched on. The product is easy to use and saves lot of time. I feel it is totally worth its price
